timestamp,level,user_id,action,status
"2026-02-23 08:22:17,394",ERROR,user_0014,view_page,failure
"2026-02-23 08:22:17,894",ERROR,user_0013,login,failure
"2026-02-23 08:22:18,395",WARNING,user_0015,login,delayed
"2026-02-23 08:22:18,895",WARNING,user_0011,login,delayed
"2026-02-23 08:22:19,395",ERROR,user_0015,purchase,failure
"2026-02-23 08:22:19,895",INFO,user_0013,view_page,success
"2026-02-23 08:22:20,396",WARNING,user_0016,view_page,delayed
"2026-02-23 08:22:20,896",ERROR,user_0010,purchase,failure
"2026-02-23 08:22:21,396",ERROR,user_0019,view_page,failure
"2026-02-23 08:22:21,897",INFO,user_0011,data_fetch,success
"2026-02-23 08:22:22,397",ERROR,user_0015,data_fetch,failure
"2026-02-23 08:22:22,897",ERROR,user_0010,login,failure
"2026-02-23 08:22:23,397",ERROR,user_0015,logout,failure
"2026-02-23 08:22:23,898",INFO,user_0010,data_fetch,success
"2026-02-23 08:22:24,398",WARNING,user_0019,data_fetch,delayed
"2026-02-23 08:22:24,899",ERROR,user_0016,logout,failure
"2026-02-23 08:22:25,400",ERROR,user_0018,purchase,failure
"2026-02-23 08:22:25,900",INFO,user_0016,login,success
"2026-02-23 08:22:26,401",INFO,user_0012,logout,success
"2026-02-23 08:22:26,901",ERROR,user_0018,view_page,failure
"2026-02-23 08:22:27,401",ERROR,user_0018,logout,failure
"2026-02-23 08:22:27,902",ERROR,user_0011,logout,failure
"2026-02-23 08:22:28,402",INFO,user_0011,data_fetch,success
"2026-02-23 08:22:28,902",ERROR,user_0010,purchase,failure
"2026-02-23 08:22:29,402",ERROR,user_0015,data_fetch,failure
"2026-02-23 08:22:29,903",WARNING,user_0013,purchase,delayed
"2026-02-23 08:22:30,403",INFO,user_0013,logout,success
"2026-02-23 08:22:30,903",INFO,user_0016,view_page,success
"2026-02-23 08:22:31,404",ERROR,user_0017,login,failure
"2026-02-23 08:22:31,904",WARNING,user_0018,login,delayed
"2026-02-23 08:22:32,404",ERROR,user_0018,logout,failure
"2026-02-23 08:22:32,904",INFO,user_0019,login,success
"2026-02-23 08:22:33,405",ERROR,user_0010,login,failure
"2026-02-23 08:22:33,905",ERROR,user_0012,logout,failure
"2026-02-23 08:22:34,406",ERROR,user_0013,logout,failure
"2026-02-23 08:22:34,906",ERROR,user_0015,view_page,failure
"2026-02-23 08:22:35,406",ERROR,user_0017,view_page,failure
"2026-02-23 08:22:35,907",ERROR,user_0019,login,failure
"2026-02-23 08:22:36,407",WARNING,user_0017,login,delayed
